Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Key ,Quarter
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.12,5,0.2,105,0.05,0.025,11.0,21,26,7.5,-9999,-9999,3
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.12,15,0.27,105,0.05,0.025,20.0,21,41,8.1,-9999,-9999,4
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.12,5,0.24,180,0.05,0.04,22.0,15,40,8.4,-9999,-9999,1
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.12,5,0.23,94,0.13,0.18,18.0,18,27,6.9,-9999,-9999,2
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.12,5,0.34,180,0.05,0.025,22.0,25,46,8.4,-9999,-9999,3
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.12,16,0.2,190,0.05,0.025,37.0,17,46,8.4,-9999,-9999,4
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.12,5,0.28,140,0.05,0.018,19.0,13,33,7.9,-9999,-9999,1
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.12,5,0.32,190,0.05,0.018,38.0,10,43,8.2,-9999,-9999,2
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.12,13,0.22,225,0.05,0.025,43.0,13,51,8.5,-9999,-9999,3
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.12,15,0.35,165,0.13,0.025,35.0,13,47,8.2,-9999,-9999,4
VSV,Sandspruit above Volksrust ,29.88938333333333,-27.24056388888889,0.12,5,0.26,115,0.05,0.018,24.0,10,30,7.7,-9999,-9999,1
VSV,Sandspruit above Volksrust ,29.88938333333333,-27.24056388888889,0.12,5,0.18,130,0.05,0.025,26.0,13,34,7.9,-9999,-9999,2
VSV,Sandspruit above Volksrust ,29.88938333333333,-27.24056388888889,0.12,13,0.27,81,0.05,0.025,37.0,17,31,7.2,-9999,-9999,3
VSV,Sandspruit above Volksrust ,29.88938333333333,-27.24056388888889,0.12,5,0.19,86,0.05,0.018,12.0,13,22,7.5,-9999,-9999,4
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.12,5,0.26,90,0.16,0.04,18.0,23,26,6.9,200,-9999,1
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.12,13,0.28,165,0.11,0.018,33.0,16,40,8.3,98,-9999,2
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.12,17,0.15,185,0.05,0.025,37.0,16,47,8.3,47,-9999,3
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.12,17,0.26,205,0.05,0.025,38.0,22,52,8.1,6,-9999,4
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.12,5,0.08,135,0.47,0.025,7.0,10,14,7.1,335,-9999,1
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.12,5,0.025,56,0.29,0.12,8.0,10,14,7.1,3560,-9999,2
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.12,5,0.18,70,0.19,0.04,7.0,22,20,6.7,29370,-9999,3
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.12,5,0.1,63,0.57,0.018,8.0,14,16,7.3,48500,-9999,4
